abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
AL,Alabama,N/A,658.0,1496.0,897.0,3760.0,1984.0,1354.0,228.0,229.0,15510.0,21684.0,896.0,64.0,2609.0,1981.0,587.0,993.0,2031.0,2432.0,144.0,1009.0,1312.0,4342.0,770.0,6978.0,1349.0,241.0,345.0,652.0,208.0,1598.0,527.0,4984.0,4061.0,396.0,1874.0,813.0,382.0,3668.0,518.0,2195.0,84.0,9062.0,7611.0,748.0,72.0,3663.0,1315.0,396.0,1702.0,140.0
AK,Alaska,578.0,N/A,1016.0,185.0,3032.0,1396.0,98.0,81.0,38.0,1373.0,994.0,576.0,650.0,844.0,113.0,186.0,793.0,429.0,339.0,232.0,323.0,488.0,1102.0,1064.0,117.0,594.0,460.0,184.0,1270.0,186.0,454.0,478.0,1438.0,1555.0,116.0,216.0,476.0,1285.0,802.0,140.0,381.0,281.0,280.0,2431.0,694.0,98.0,764.0,2974.0,60.0,1124.0,240.0
AZ,Arizona,1505.0,2313.0,N/A,1135.0,61262.0,12372.0,2726.0,518.0,305.0,7825.0,4080.0,2419.0,3071.0,11995.0,3673.0,3431.0,3404.0,1562.0,1540.0,750.0,1996.0,5596.0,13072.0,13062.0,844.0,4008.0,2086.0,1593.0,7581.0,1226.0,7120.0,7484.0,10194.0,4876.0,1810.0,4704.0,4076.0,9471.0,9454.0,464.0,1234.0,1490.0,2136.0,15342.0,8736.0,928.0,5019.0,15723.0,412.0,11228.0,1135.0
AR,Arkansas,1103.0,246.0,972.0,N/A,4605.0,2574.0,206.0,35.0,91.0,2314.0,1790.0,185.0,180.0,2571.0,1009.0,528.0,1315.0,746.0,3187.0,88.0,561.0,430.0,1960.0,1228.0,3071.0,6714.0,259.0,470.0,564.0,110.0,628.0,297.0,748.0,1424.0,112.0,571.0,6500.0,375.0,2002.0,0.0,313.0,75.0,4749.0,15287.0,639.0,18.0,1152.0,1034.0,88.0,1514.0,386.0
CA,California,4004.0,3986.0,31489.0,3276.0,N/A,20369.0,10100.0,1117.0,4835.0,23312.0,12759.0,12333.0,4977.0,24170.0,6244.0,2792.0,4193.0,3184.0,5150.0,5122.0,11564.0,30720.0,20154.0,14928.0,2725.0,7706.0,2023.0,2948.0,24350.0,2248.0,24750.0,5115.0,72082.0,13196.0,1694.0,11441.0,5555.0,19943.0,26988.0,4090.0,5450.0,1190.0,6214.0,39343.0,9146.0,1634.0,17578.0,32640.0,748.0,13374.0,1706.0
CO,Colorado,3113.0,1763.0,9771.0,1318.0,28742.0,N/A,3566.0,193.0,907.0,13193.0,6134.0,3332.0,1630.0,10011.0,2707.0,2722.0,5978.0,2210.0,2718.0,1120.0,3263.0,6226.0,7016.0,9572.0,860.0,5517.0,1580.0,4340.0,3877.0,1556.0,6664.0,6531.0,14726.0,5266.0,1435.0,4013.0,4646.0,3927.0,8928.0,1164.0,2005.0,1438.0,3088.0,25209.0,3564.0,1380.0,6983.0,6417.0,480.0,8586.0,3646.0
CT,Connecticut,541.0,257.0,453.0,211.0,4043.0,763.0,N/A,385.0,438.0,5806.0,1533.0,568.0,13.0,1500.0,468.0,185.0,112.0,185.0,400.0,984.0,1396.0,10234.0,636.0,438.0,23.0,546.0,7.0,66.0,108.0,850.0,4676.0,294.0,25236.0,1765.0,55.0,1365.0,221.0,436.0,3126.0,2828.0,1042.0,137.0,567.0,2905.0,293.0,466.0,2136.0,707.0,168.0,221.0,47.0
DE,Delaware,210.0,155.0,127.0,0.0,529.0,152.0,1074.0,N/A,251.0,1116.0,213.0,42.0,6.0,563.0,77.0,64.0,91.0,53.0,111.0,254.0,7783.0,1008.0,270.0,64.0,68.0,94.0,43.0,65.0,47.0,140.0,10522.0,174.0,6074.0,849.0,140.0,155.0,215.0,61.0,22134.0,180.0,347.0,4.0,157.0,745.0,42.0,240.0,1420.0,157.0,186.0,118.0,0.0
DC,DC,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,12391.0,1990.0,7312.0,3876.0,27384.0,11850.0,29220.0,3056.0,1498.0,N/A,40412.0,2635.0,1115.0,26387.0,13469.0,4192.0,2725.0,10617.0,5849.0,7476.0,16635.0,36674.0,43448.0,13706.0,4723.0,10370.0,852.0,2095.0,4740.0,9766.0,60288.0,2918.0,125824.0,25802.0,1168.0,25842.0,3959.0,2724.0,61052.0,7078.0,12975.0,1191.0,15782.0,29051.0,3620.0,4372.0,27785.0,6952.0,3313.0,17044.0,519.0
GA,Georgia,15525.0,1140.0,3135.0,2097.0,15226.0,3715.0,7584.0,781.0,929.0,46596.0,N/A,1588.0,706.0,10079.0,3358.0,1860.0,3094.0,3872.0,4418.0,826.0,4380.0,6068.0,10260.0,4250.0,4709.0,4131.0,375.0,1323.0,1274.0,1198.0,15352.0,1236.0,32230.0,15775.0,160.0,7972.0,2063.0,1125.0,13696.0,906.0,15568.0,263.0,17387.0,19989.0,1358.0,542.0,11605.0,3197.0,874.0,5832.0,700.0
HI,Hawaii,660.0,601.0,1698.0,118.0,10805.0,1998.0,756.0,30.0,346.0,2394.0,2127.0,N/A,533.0,1262.0,535.0,378.0,799.0,327.0,339.0,162.0,637.0,1270.0,652.0,836.0,152.0,701.0,234.0,287.0,1475.0,46.0,704.0,397.0,3288.0,1770.0,73.0,819.0,432.0,1441.0,1566.0,394.0,1065.0,22.0,713.0,3274.0,932.0,36.0,3040.0,3837.0,57.0,246.0,45.0
ID,Idaho,116.0,1060.0,3544.0,576.0,18365.0,2950.0,664.0,37.0,0.0,1380.0,556.0,546.0,N/A,521.0,262.0,170.0,397.0,353.0,313.0,360.0,246.0,440.0,704.0,838.0,94.0,924.0,1859.0,156.0,2581.0,80.0,106.0,577.0,2026.0,1181.0,706.0,294.0,695.0,5118.0,1340.0,0.0,158.0,126.0,446.0,2921.0,7440.0,202.0,892.0,10329.0,172.0,426.0,1800.0
IL,Illinois,1796.0,524.0,5239.0,1652.0,16294.0,3742.0,3538.0,125.0,1034.0,12452.0,4857.0,733.0,644.0,N/A,15400.0,9204.0,1783.0,3291.0,1426.0,560.0,2894.0,7526.0,20328.0,9162.0,1885.0,15273.0,310.0,1607.0,2073.0,748.0,6056.0,710.0,15038.0,4268.0,475.0,8118.0,1549.0,1322.0,8622.0,638.0,1868.0,434.0,5453.0,11523.0,1159.0,472.0,5623.0,3799.0,595.0,25996.0,278.0
IN,Indiana,1267.0,205.0,2537.0,979.0,7331.0,2342.0,1934.0,239.0,98.0,9233.0,3663.0,660.0,478.0,31871.0,N/A,1233.0,1262.0,10847.0,773.0,674.0,1075.0,1836.0,18348.0,3156.0,879.0,2736.0,469.0,329.0,1690.0,374.0,5372.0,651.0,5344.0,4324.0,354.0,12426.0,1110.0,854.0,5818.0,92.0,1524.0,189.0,4109.0,7102.0,656.0,332.0,2437.0,1798.0,312.0,5830.0,204.0
IA,Iowa,322.0,530.0,2150.0,640.0,3747.0,3479.0,202.0,18.0,116.0,3238.0,1114.0,278.0,720.0,14734.0,1362.0,N/A,1927.0,502.0,511.0,286.0,608.0,672.0,1682.0,13730.0,472.0,4355.0,339.0,7547.0,671.0,172.0,788.0,308.0,986.0,1118.0,472.0,1260.0,688.0,394.0,1160.0,168.0,389.0,2011.0,1140.0,3415.0,345.0,146.0,857.0,1459.0,192.0,7526.0,220.0
KS,Kansas,649.0,284.0,2164.0,1440.0,5531.0,5583.0,506.0,132.0,127.0,3378.0,2208.0,345.0,137.0,2693.0,1098.0,2481.0,N/A,919.0,775.0,78.0,642.0,1546.0,1798.0,2064.0,263.0,23636.0,517.0,2801.0,430.0,268.0,1202.0,764.0,3624.0,1588.0,186.0,1367.0,5833.0,506.0,1832.0,86.0,323.0,419.0,1329.0,8490.0,904.0,24.0,1588.0,1551.0,85.0,734.0,355.0
