abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
AL,Alabama,N/A,578.0,1505.0,1103.0,4004.0,3113.0,1082.0,210.0,356.0,12391.0,15525.0,660.0,116.0,1796.0,1267.0,322.0,649.0,2302.0,3019.0,366.0,1184.0,1042.0,3640.0,850.0,6243.0,2084.0,274.0,309.0,707.0,386.0,368.0,526.0,2042.0,3744.0,47.0,2178.0,568.0,304.0,3226.0,170.0,2317.0,127.0,8366.0,8168.0,511.0,142.0,2954.0,997.0,237.0,1196.0,471.0,122552.0,105742.0
AK,Alaska,658.0,N/A,2313.0,246.0,3986.0,1763.0,514.0,155.0,123.0,1990.0,1140.0,601.0,1060.0,524.0,205.0,530.0,284.0,338.0,446.0,276.0,329.0,758.0,1376.0,1126.0,122.0,1133.0,889.0,210.0,1071.0,430.0,840.0,899.0,1364.0,1393.0,147.0,633.0,579.0,2240.0,1174.0,76.0,398.0,140.0,926.0,3147.0,1094.0,284.0,1148.0,5034.0,73.0,846.0,271.0,35028.0,47302.0
AZ,Arizona,1496.0,1016.0,N/A,972.0,31489.0,9771.0,906.0,127.0,407.0,7312.0,3135.0,1698.0,3544.0,5239.0,2537.0,2150.0,2164.0,989.0,568.0,688.0,2103.0,3198.0,8140.0,5840.0,588.0,2863.0,1266.0,1497.0,6793.0,1276.0,2178.0,5642.0,8558.0,4948.0,816.0,3072.0,2574.0,6653.0,5890.0,694.0,1619.0,579.0,2067.0,18929.0,7616.0,268.0,2729.0,11956.0,159.0,4816.0,672.0,299986.0,202207.0
AR,Arkansas,897.0,185.0,1135.0,N/A,3276.0,1318.0,422.0,0.0,62.0,3876.0,2097.0,118.0,576.0,1652.0,979.0,640.0,1440.0,486.0,2256.0,84.0,369.0,472.0,1626.0,944.0,2189.0,7543.0,340.0,457.0,323.0,338.0,236.0,301.0,1572.0,1094.0,233.0,936.0,7642.0,615.0,1502.0,118.0,759.0,153.0,5597.0,13548.0,667.0,0.0,926.0,941.0,123.0,1178.0,252.0,77024.0,74493.0
CA,California,3760.0,3032.0,61262.0,4605.0,N/A,28742.0,8086.0,529.0,3663.0,27384.0,15226.0,10805.0,18365.0,16294.0,7331.0,3747.0,5531.0,4253.0,5137.0,2692.0,8683.0,24118.0,19200.0,11782.0,3505.0,8978.0,4847.0,3448.0,48530.0,3242.0,15542.0,6121.0,48898.0,18699.0,2211.0,10819.0,8482.0,42460.0,22036.0,4150.0,7235.0,2645.0,9893.0,73914.0,18513.0,2084.0,18867.0,49860.0,773.0,11208.0,2315.0,616655.0,743502.0
CO,Colorado,1984.0,1396.0,12372.0,2574.0,20369.0,N/A,1526.0,152.0,680.0,11850.0,3715.0,1998.0,2950.0,3742.0,2342.0,3479.0,5583.0,1681.0,1810.0,1408.0,2043.0,3898.0,5088.0,6862.0,636.0,5113.0,2937.0,4216.0,4039.0,1342.0,2990.0,5101.0,7450.0,4720.0,738.0,3251.0,4947.0,3707.0,6124.0,698.0,1803.0,1101.0,2685.0,21111.0,4681.0,942.0,4086.0,9053.0,583.0,5696.0,4951.0,265031.0,214203.0
CT,Connecticut,677.0,49.0,1363.0,103.0,5050.0,1783.0,N/A,537.0,1081.0,14610.0,3792.0,378.0,332.0,1769.0,967.0,101.0,253.0,425.0,297.0,1850.0,1710.0,10747.0,1203.0,554.0,67.0,445.0,189.0,355.0,807.0,2232.0,3749.0,167.0,14737.0,5977.0,60.0,2266.0,196.0,503.0,4905.0,3823.0,4053.0,5.0,1505.0,2703.0,806.0,1256.0,3632.0,1545.0,407.0,665.0,88.0,81840.0,106774.0
DE,Delaware,228.0,81.0,518.0,35.0,1117.0,193.0,770.0,N/A,231.0,3056.0,781.0,30.0,37.0,125.0,239.0,18.0,132.0,264.0,6.0,258.0,6028.0,1632.0,270.0,128.0,21.0,256.0,0.0,20.0,145.0,200.0,3332.0,95.0,2302.0,1770.0,31.0,399.0,166.0,180.0,13262.0,18.0,510.0,0.0,431.0,1400.0,86.0,34.0,1363.0,274.0,244.0,384.0,59.0,58590.0,43159.0
DC,DC,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
FL,Florida,15510.0,1373.0,7825.0,2314.0,23312.0,13193.0,11612.0,1116.0,2015.0,N/A,46596.0,2394.0,1380.0,12452.0,9233.0,3238.0,3378.0,8286.0,4611.0,5362.0,10486.0,21372.0,25444.0,7904.0,4654.0,6619.0,1190.0,1926.0,5288.0,4818.0,20806.0,1839.0,48576.0,32304.0,941.0,14665.0,4116.0,3507.0,32098.0,5714.0,14872.0,692.0,19587.0,35709.0,2410.0,2088.0,20507.0,9186.0,2549.0,9080.0,426.0,795722.0,546573.0
GA,Georgia,21684.0,994.0,4080.0,1790.0,12759.0,6134.0,3066.0,213.0,1101.0,40412.0,N/A,2127.0,556.0,4857.0,3663.0,1114.0,2208.0,4028.0,3769.0,680.0,4846.0,6384.0,8954.0,3778.0,3846.0,3411.0,398.0,635.0,1626.0,1010.0,5024.0,816.0,15024.0,19240.0,612.0,5109.0,2271.0,1234.0,10326.0,750.0,15240.0,427.0,15418.0,18053.0,1670.0,292.0,8847.0,4450.0,777.0,3564.0,173.0,332327.0,279440.0
HI,Hawaii,896.0,576.0,2419.0,185.0,12333.0,3332.0,1136.0,42.0,59.0,2635.0,1588.0,N/A,546.0,733.0,660.0,278.0,345.0,380.0,520.0,634.0,1915.0,862.0,1144.0,496.0,381.0,857.0,73.0,269.0,4449.0,344.0,886.0,532.0,2490.0,2458.0,84.0,662.0,751.0,2889.0,1800.0,46.0,849.0,87.0,866.0,5803.0,1672.0,98.0,2942.0,4543.0,38.0,734.0,39.0,56309.0,70356.0
ID,Idaho,64.0,650.0,3071.0,180.0,4977.0,1630.0,26.0,6.0,36.0,1115.0,706.0,533.0,N/A,644.0,478.0,720.0,137.0,425.0,181.0,352.0,190.0,602.0,1506.0,1102.0,235.0,732.0,2294.0,387.0,1879.0,162.0,276.0,416.0,864.0,579.0,405.0,271.0,399.0,5277.0,876.0,172.0,307.0,155.0,398.0,2343.0,7753.0,72.0,285.0,11368.0,75.0,886.0,1136.0,77047.0,59333.0
IL,Illinois,2609.0,844.0,11995.0,2571.0,24170.0,10011.0,3000.0,563.0,1589.0,26387.0,10079.0,1262.0,521.0,N/A,31871.0,14734.0,2693.0,5274.0,2229.0,540.0,1958.0,7814.0,25130.0,16168.0,2790.0,22284.0,872.0,2087.0,3514.0,762.0,3962.0,908.0,13236.0,7417.0,500.0,10391.0,2759.0,2445.0,8842.0,900.0,3989.0,822.0,9370.0,22824.0,1970.0,852.0,7503.0,6486.0,381.0,51908.0,297.0,250096.0,394083.0
IN,Indiana,1981.0,113.0,3673.0,1009.0,6244.0,2707.0,936.0,77.0,570.0,13469.0,3358.0,535.0,262.0,15400.0,N/A,1362.0,1098.0,10871.0,531.0,346.0,1298.0,2516.0,21166.0,3324.0,1131.0,3443.0,538.0,425.0,1042.0,874.0,1882.0,420.0,4132.0,4539.0,101.0,12000.0,1248.0,848.0,5056.0,186.0,2489.0,388.0,5632.0,9137.0,1106.0,44.0,2222.0,1487.0,558.0,5430.0,212.0,169356.0,159416.0
IA,Iowa,587.0,186.0,3431.0,528.0,2792.0,2722.0,370.0,64.0,124.0,4192.0,1860.0,378.0,170.0,9204.0,1233.0,N/A,2481.0,823.0,499.0,504.0,395.0,480.0,1754.0,11566.0,229.0,5852.0,278.0,6774.0,930.0,210.0,194.0,351.0,2524.0,1384.0,858.0,1486.0,819.0,626.0,1054.0,260.0,620.0,2931.0,783.0,5601.0,494.0,120.0,1275.0,761.0,70.0,8212.0,324.0,91166.0,91363.0
KS,Kansas,993.0,793.0,3404.0,1315.0,4193.0,5978.0,224.0,91.0,22.0,2725.0,3094.0,799.0,397.0,1783.0,1262.0,1927.0,N/A,1434.0,771.0,160.0,434.0,1086.0,2636.0,2504.0,291.0,21394.0,321.0,3381.0,538.0,70.0,1018.0,296.0,2126.0,1805.0,177.0,1267.0,6722.0,1111.0,1838.0,100.0,862.0,567.0,1794.0,11699.0,582.0,22.0,1624.0,2220.0,184.0,1652.0,240.0,97283.0,101926.0
KY,Kentucky,2031.0,429.0,1562.0,746.0,3184.0,2210.0,370.0,53.0,213.0,10617.0,3872.0,327.0,353.0,3291.0,10847.0,502.0,919.0,N/A,1182.0,558.0,593.0,1134.0,4660.0,998.0,711.0,1855.0,84.0,377.0,637.0,452.0,512.0,230.0,2440.0,3736.0,46.0,14472.0,843.0,498.0,3292.0,160.0,2430.0,31.0,12850.0,5856.0,628.0,470.0,3189.0,964.0,1405.0,2336.0,258.0,120637.0,111413.0
LA,Louisiana,2432.0,339.0,1540.0,3187.0,5150.0,2718.0,800.0,111.0,284.0,5849.0,4418.0,339.0,313.0,1426.0,773.0,511.0,775.0,843.0,N/A,754.0,655.0,2008.0,2116.0,738.0,8929.0,1737.0,246.0,227.0,683.0,214.0,1514.0,606.0,3788.0,2591.0,377.0,1183.0,2083.0,1106.0,1944.0,176.0,1583.0,409.0,2424.0,28818.0,473.0,66.0,2918.0,1342.0,167.0,2038.0,162.0,86204.0,105883.0
ME,Maine,72.0,116.0,375.0,44.0,2561.0,560.0,984.0,127.0,216.0,3738.0,413.0,81.0,180.0,280.0,337.0,143.0,39.0,448.0,28.0,N/A,329.0,3922.0,620.0,189.0,54.0,249.0,119.0,107.0,115.0,4020.0,404.0,283.0,1444.0,1209.0,11.0,467.0,103.0,402.0,1272.0,401.0,631.0,10.0,893.0,1080.0,96.0,696.0,1008.0,597.0,205.0,332.0,218.0,34369.0,32228.0
MD,Maryland,1009.0,323.0,1996.0,561.0,11564.0,3263.0,2792.0,7783.0,13611.0,16635.0,4380.0,637.0,246.0,2894.0,1075.0,608.0,642.0,1530.0,661.0,676.0,N/A,6204.0,2934.0,2044.0,766.0,1288.0,131.0,651.0,919.0,1326.0,7540.0,722.0,14422.0,10707.0,118.0,3215.0,754.0,961.0,37936.0,820.0,5588.0,169.0,1671.0,10263.0,918.0,926.0,27335.0,3310.0,5135.0,1184.0,19.0,199480.0,222862.0
MA,Massachusetts,656.0,244.0,2798.0,215.0,15360.0,3113.0,10234.0,504.0,2294.0,18337.0,3034.0,635.0,220.0,3763.0,918.0,336.0,773.0,753.0,494.0,6072.0,2516.0,N/A,2757.0,1424.0,444.0,1145.0,191.0,220.0,775.0,20118.0,3643.0,409.0,16480.0,6330.0,41.0,2974.0,525.0,1391.0,6196.0,11249.0,3078.0,65.0,2365.0,6623.0,757.0,3737.0,4563.0,3685.0,292.0,785.0,78.0,142974.0,175609.0
MI,Michigan,2171.0,551.0,6536.0,980.0,10077.0,3508.0,636.0,135.0,765.0,21724.0,5130.0,326.0,352.0,10164.0,9174.0,841.0,899.0,2915.0,1687.0,446.0,1639.0,1697.0,N/A,3043.0,766.0,2320.0,370.0,731.0,1964.0,521.0,1437.0,833.0,3999.0,6114.0,899.0,13555.0,1955.0,1605.0,2681.0,280.0,2747.0,148.0,5348.0,9696.0,879.0,287.0,4145.0,3840.0,582.0,5186.0,346.0,142388.0,158630.0
MN,Minnesota,385.0,532.0,6531.0,614.0,7464.0,4786.0,438.0,32.0,352.0,6853.0,2125.0,418.0,419.0,4581.0,1578.0,6865.0,1032.0,510.0,264.0,128.0,614.0,1381.0,1976.0,N/A,95.0,2097.0,1569.0,2086.0,1556.0,188.0,498.0,479.0,1811.0,2552.0,12522.0,1754.0,849.0,1329.0,1887.0,33.0,803.0,4252.0,1421.0,6724.0,822.0,118.0,1725.0,3302.0,134.0,19050.0,452.0,107941.0,119986.0
